ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,SM02B-SRSS-TB (LF)(SN),BAT1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,SM02B-SRSS-TB(LF)(SN),JST,LCSC,C160402,0.101
2,100nF,"C1,C2,C3,C4,C5,C6,C7,C10,C14,C17,C19",C0402,11,CL05B104KO5NNNC,SAMSUNG(三星),LCSC,C1525,0.001
3,1uF,"C8,C12,C13,C18",C0402,4,CL05A105KA5NQNC,SAMSUNG(三星),LCSC,C52923,0.004
4,10uF,"C9,C11",C0402,2,,SAMSUNG(三星),LCSC,C15525,0.005
5,22pF,"C15,C16",C0402,2,0402CG220J500NT,FH(风华),LCSC,C1555,0.001
6,1N5819WS,"D1,D2,D3",SOD-323_L1.8-W1.3-LS2.5-RD,3,1N5819WS,Hottech(合科泰),LCSC,C191023,0.013
7,1N4148WS T4,"D4,D5",SOD-323_L1.8-W1.3-LS2.5-RD,2,1N4148WS,CJ(江苏长电/长晶),LCSC,C2128,0.011
8,10uH,L1,L0805,1,SDFL2012S100KTF,Sunlord(顺络),LCSC,C1046,0.017
9,KT-0603R,LED1,LED0603-RD,1,,KENTO,LCSC,C2286,
10,AO3401A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,,AOS,LCSC,C15127,0.062
11,MMBT5551_C2145,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,,CJ(江苏长电/长晶),LCSC,C2145,0.015
12,100kΩ,"R1,R2,R5,R8,R10,R12,R13,R15,R17",R0402,9,0402WGF1003TCE,UNI-ROYAL(厚声),LCSC,C25741,0.001
13,10kΩ,"R4,R11,R14,R20",R0402,4,0402WGF1002TCE,UNI-ROYAL(厚声),LCSC,C25744,0.001
14,22Ω,"R6,R7",R0402,2,0402WGF220JTCE,UNI-ROYAL(厚声),LCSC,C25092,0.001
15,75kΩ,"R9,R16",R0402,2,0402WGF7502TCE,UNI-ROYAL(厚声),LCSC,C25798,0.001
16,27kΩ,R18,R0402,1,0402WGF2702TCE,UNI-ROYAL(厚声),LCSC,C25771,0.001
17,1kΩ,R19,R0402,1,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702,0.001
18,SDNT1005X473F4050FTF,RT1,R0402,1,SDNT1005X473F4050FTF,Sunlord(顺络),LCSC,C279702,0.014
19,TS-1187A-B-A-B,SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,TS-1187A-B-A-B,XKB Connectivity(中国星坤),LCSC,C318884,0.016
20,TP4057,U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,TP4057-42-SOT26-R,TOPPOWER(南京拓微),LCSC,C12044,0.126
21,XC6206P332MR,U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,TOREX(特瑞仕),LCSC,C5446,0.107
22,ATMEGA32U4-MU,U3,VQFN-44_L7.0-W7.0-P0.50-BL-EP5.2,1,ATMEGA32U4-MU,MICROCHIP(美国微芯),LCSC,C112161,4.642
23,8MHz,X1,CRYSTAL-SMD_L5.0-W3.2,1,X50328MSB2GI,YXC(扬兴晶振),LCSC,C115962,0.174
