T_CAL,R_typ,R_min,R_max,V_typ,V_min,V_max,bit_typ,bit_min,bit_max,err_n,err_p,I max (mA),P max (mW),%-,%+
-100,111312560,110199434,112425685,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-99,104938023,103888642,105987403,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-98,98960803,97971195,99950411,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-97,93354230,92420688,94287773,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-96,88093546,87212610,88974481,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-95,83155759,82324201,83987317,4.83,4.78,4.88,988,987,988,1,0,0.000,0.000,0.1%,0.0%
-94,78519512,77734317,79304707,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-93,74164957,73423307,74906606,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-92,70073642,69372906,70774379,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-91,66228410,65566126,66890694,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-90,62613297,61987164,63239430,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-89,59213448,58621313,59805582,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-88,56015033,55454883,56575183,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-87,53005174,52475122,53535226,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-86,50171874,49670155,50673592,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-85,47503950,47028911,47978990,4.83,4.78,4.88,987,987,988,0,1,0.000,0.000,0.0%,0.1%
-84,44990982,44541072,45440892,4.83,4.78,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-83,42623248,42197016,43049481,4.83,4.78,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-82,40391684,39987767,40795601,4.83,4.78,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-81,38287827,37904949,38670705,4.83,4.78,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-80,36303781,35940743,36666819,4.83,4.77,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-79,34432171,34087849,34776493,4.83,4.77,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-78,32666109,32339448,32992770,4.83,4.77,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-77,30999160,30689169,31309152,4.83,4.77,4.88,987,986,988,1,1,0.000,0.001,0.1%,0.1%
-76,29425309,29131056,29719562,4.83,4.77,4.88,987,986,987,1,0,0.000,0.001,0.1%,0.0%
-75,27938931,27659541,28218320,4.83,4.77,4.88,987,986,987,1,0,0.000,0.001,0.1%,0.0%
-74,26534766,26269419,26800114,4.82,4.77,4.88,987,986,987,1,0,0.000,0.001,0.1%,0.0%
-73,25207896,24955817,25459975,4.82,4.77,4.88,987,986,987,1,0,0.000,0.001,0.1%,0.0%
